context,category
facilitated lab use,material transfer
provided materials,material transfer
supplied,material transfer
filled out surveys for,other
visited and communicated,meetup
helped and taught,advice
shared and guided,advice
exchanged ideas and advice,advice
provided experimental help,work
advised,advice
participated in festival with,meetup
collaborated,work
received support from,advice
supported,advice
ongoing support from,advice
support from,advice
collaboration planned with,work
thanked for organizing,other
offered help with,advice
collaborated on survey,work
participated in postal card exchange,other
organized meetup,meetup
hosted event,meetup
visited for collaboration,work
consulted and discussed project,advice
collaborated in translation project,work
advice and lab support from,advice
lab provided by,material transfer
lab management help by,advice
analysis support from,advice
technique support by,advice
hardware support from,material transfer
wiki support from,advice
presentation coaching by,advice
Human Practice support from,advice
juristic advice from,advice
publication and outreach support from,advice
fieldwork opportunity and sample provision by,material transfer
fieldwork opportunity and information provision by,advice
analysis support from,advice
technique support by,advice
hardware support from,material transfer
wiki support from,advice
presentation coaching by,advice
Human Practice support from,advice
juristic advice from,advice
publication and outreach support from,advice
fieldwork opportunity and sample provision by,material transfer
fieldwork opportunity and information provision by,advice
information provision by,material transfer
advice on engineering and application from,advice
talk on synthetic biology by,other
equipment provision by,material transfer
photography by,other
project and experiment design advice from,advice
planned cooperation with,work
participated in online discussion,meetup
received beta testing from,work
asked for help,advice
finished measurement,work
shared laboratory,material transfer
gifted,material transfer
attended conference,meetup
attended,meetup
shared strain,material transfer
gave back confirmed plasmids to,material transfer
helped,advice
performed PCR for,work
invited by,meetup
attended meetup,meetup
shared suggestions,advice
shared project information,material transfer
established partnership,other
organized,other
participated,other
received talk from,advice
received feedback from,advice
collaborated with,work
sent DNAzyme to,material transfer
attended meetup,meetup
shared suggestions,advice
shared project information,material transfer
established partnership,other
organized,other
participated,other
received talk from,advice
received feedback from,advice
collaborated with,work
sent DNAzyme to,material transfer
sent questionnaire to,other
received help from,advice
hosted webinars,other
partnered up with,work
borrowed lab equipment from,material transfer
received lab materials from,material transfer
expressed gratitude to,other
mentored by,advice
collaborated on YouTube,work
received wiki feedback from,advice
mentored,advice
received guidance from,advice
provided suggestions to,advice
performed gene knockout for,work
participated in exchange,material transfer
received postcards,other
answered survey,advice
participated in discussion,meetup
conducted session,advice
provided information,advice
beta-tested for,work
shared experience with,meetup
discussed collaboration with,work
tested tool from,work
participated in,meetup
attended event organized by,meetup
invited speaker from,meetup
received advice from,advice
helped design siRNA for,work
sent siRNA sequences to,material transfer
provided platform for community building,other
provided feedback on search tool,advice
filled out survey on RNAi-based logic circuits,material transfer
filled out survey on immunotherapies,material transfer
filled out survey about cholera,material transfer
offered poster board space,material transfer
learned from,advice
assisted,work
wishing good results,other
helped construct biobrick,work
provided biobricks,material transfer
offered biobricks,material transfer
collaborated on database,work
participated in forum,meetup
advised by,advice
received advice on,advice
discussed project with,meetup
helped with simRNA program,work
provided model handbook,material transfer
provided modeling software help,work
used Phyre2 for modeling,work
studied molecule identity with Pymol,work
provided document about French GMO regulation,material transfer
helped build interactive map,work
provided survey distribution,material transfer
organized skype with winemaker,meetup
received feedback on surveys,advice
acknowledged improvements from collaboration,other
helped visualize enzyme yhjH,work
cooperated,work
met during visit,meetup
completed survey from,material transfer
collaborated,work
provided model to,material transfer
requested data collection from,material transfer
special thanks to,other
sponsored by,other
recruited for study,material transfer
cooperated,work
received advice from,advice
met during visit,meetup
completed survey from,material transfer
collaborated,work
provided model to,material transfer
requested data collection from,material transfer
special thanks to,other
sponsored by,other
recruited for study,material transfer
cooperated,work
received advice from,advice
drafted manifesto with,work
received plasmid from,material transfer
established long-term online contact with,other
contributed knowledge,advice
helped with modeling,work
provided model feasibility verification,work
determined inhibitory effect for,work
performed statistical analysis on data from,work
provided part for improvement,material transfer
helped measure soil data for,work
hosted meetup,meetup
provided assistance,advice
introduced Golden Gate Assembly,advice
provided Golden Gate Assembly advice,advice
introduced Phytobricks,advice
provided protocol,material transfer
received feedback,advice
provided feedback,advice
participated in event,meetup
formed close connection,other
translated videos for,work
contributed to video playlist,work
helped translate,work
collaborated for local information,work
collaborated for WeChat publication,work
translated and published,work
shared tasks with,work
plans to integrate bacteria from,material transfer
mentored,advice
helped organize part cloning demonstration,work
gifted primers,material transfer
sought help from,advice
shared experience with,advice
shared ideas with,advice
appreciates,other
contacted,other
provided plasmid to,material transfer
gave modeling advice to,advice
participated in collaboration project,work
joined Instagram challenge,meetup
mentored by,advice
received material support from,material transfer
collaborated on mentoring program,work
compiled stories with,work
participated in iGEM Day organized by,meetup
participated in,meetup
presented at,meetup
received feedback from,advice
communicated with,advice
helped,advice
hosted,meetup
translated for,advice
implanted Easter egg,other
provided data to,material transfer
received assistance from,advice
collaborated with,work
hosted by,meetup
met and received feedback from,advice
attended meetup,meetup
thanked,other
provided data,material transfer
cooperated in transformation methods,work
cooperated in Transformant confirmation,work
shared university,other
co-organized seminars,meetup
shared experimental materials and equipment,material transfer
co-analyzed data,work
gifted plasmid backbone,material transfer
shared ideas and troubleshoot problems,advice
shared protocols and tips,advice
used tool and protocol from,material transfer
attended conference,meetup
contacted by,other
visited by,other
participated in activity,meetup
advised,advice
borrowed materials from,material transfer
exchanged information,material transfer
reached out to,other
had a video meeting with,advice
used tool and protocol from,material transfer
attended conference,meetup
contacted by,other
visited by,other
participated in activity,meetup
advised,advice
borrowed materials from,material transfer
exchanged information,material transfer
reached out to,other
had a video meeting with,advice
considered collaboration with,other
presented project,other
participated in meetup,meetup
communicated via,other
participated in video,other
held workshop with,work
intermediated reagent support from,material transfer
distributed reagents to,material transfer
discussed with,advice
introduced project,other
lent lab,material transfer
provided apparatus and materials,material transfer
taught lab techniques,advice
expressed interest in collaboration using,other
suggested teaching modelling,advice
organized mini Jamboree for,meetup
participated in event organized by,meetup
presented idea,meetup
inspired by,other
attended conference thanks to,meetup
lent lab,material transfer
provided apparatus and materials,material transfer
taught lab techniques,advice
expressed interest in collaboration using,other
suggested teaching modelling,advice
organized mini Jamboree for,meetup
participated in event organized by,meetup
presented idea,meetup
inspired by,other
attended conference thanks to,meetup
received suggestions from,advice
had Q&A session provided by,advice
expressed wish to host,other
collaborated in planning and executing,work
had social gatherings with,meetup
collaborated by exchanging information,work
shared outreach strategies and distributed materials with,material transfer
created support material with,work
co-created online community with,work
participated in conference,meetup
hosted contest participant,other
participated in postcard exchange,other
provided protocol to,material transfer
gave feedback,advice
sent parts,material transfer
sent kit,material transfer
attended event,meetup
shared advice with,advice
collaborated on survey,work
organized meetup,meetup
shared information,material transfer
provided water samples,material transfer
inspired,other
arranged Skype meeting,meetup
provided expertise,advice
gifted,material transfer
shared experiences,meetup
offered suggestions,advice
conducted experiments with,work
provided suggestions and equipment to,material transfer
guided and instructed,advice
held a lecture for,advice
featured in episode,other
participated in tutorial,advice
finished inter-lab with,work
provided substrates to,material transfer
assisted with materials to,material transfer
exchanged data with,material transfer
collaborated on project experiments with,work
co-organized HP activity with,work
gave a public speech,other
evaluated by,other
participated,other
provided strain to,material transfer
requested interlab study by,work
exchanged ideas,advice
held a debate with,meetup
provided venue for,other
won robot from,other
participated in community,meetup
helped translate for,advice
exchanged knowledge with,advice
attended panel organized by,meetup
consulted,advice
