context,category
collaborated,work
advised,advice
participated in festival,meetup
held exhibition booth with,work
ongoing support by,advice
contacted,communication with
troubleshooting for,work
communication with,work
needed council from,advice
troubleshooted with help from,work
collaborated with,work
visited,meetup
exchanged ideas with,work
planned cooperation with,work
thankful to,advice
participated in postal card exchange with,material transfer
supervisor,work
competitor,other
organized,work
bonded with,meetup
participated in,meetup
worked together with,work
enjoyed by,other
shared laughs with,meetup
hosted event with,meetup
replaced information for,material transfer
used event to gauge awareness and knowledge of,other
presented project,work
adopted advice from,advice
translated projects with,work
lab support,work
helped in analysis,work
difficult technique support,work
hardware support,work
wiki support,work
presentation coaching,work
human practice support,work
juristic advice,advice
published article,other
provided fieldwork opportunities,other
provided detailed information,material transfer
provided helpful advice,advice
gave SELF talk,other
provided sound recording outfit,material transfer
took photos,work
proofreaded,work
provided advice,advice
cooperation with,work
gratitude for,other
participated in online discussion,work
discussed with,meetup
invited,meetup
received feedback from,advice
provided reader,material transfer
shared laboratory,material transfer
gifted,material transfer
organized conference,work
assisted,work
helped,work
performed PCR for,work
did a positive control for,work
collected water samples,material transfer
analyzed,work
engineered bacteria,work
designed and tested,work
did market research and contacted with,work
immobilized bacteria,work
communicated,work
supported,advice
cooperated,work
provided feedback to,advice
attended meetup,meetup
improved skills with,work
shared information with,material transfer
organized Skype conference with,meetup
reached out to help,advice
gave advice on project design,advice
offered advice and critique on wiki,advice
gave feedback on presentation,work
connected with,meetup
communicated with,work
offered advice on wetlab issues,advice
shared suggestions on presentations,advice
shared project and applications,material transfer
learned about project,other
tested properties of,work
chose,work
added,work
compared efficiency and ability of,work
selected,work
expressed from,work
enabled,work
emitted,material transfer
quenched,material transfer
determined,work
used,material transfer
evaluated activities of,work
improved function of,work
characterized,work
debugged,work
modeled or simulated,work
tested,work
helped build and test,work
mentored,advice
gave informative talk to,advice
provided critique and feedback to,advice
discussed biosafety with,advice
discussed future and importance of biosafety with,advice
synthesized,work
assessed,work
incorporated,work
provided advice to,advice
integrated,work
addressed,work
required,work
detected,work
provided simulation for,material transfer
reached out to,meetup
asked for help,advice
gave suggestions and protocols to,advice
answered questionnaire from,other
received help from,advice
hosted webinars with,meetup
organized panel discussion with,work
partnered with,work
borrowed equipment from,material transfer
received assistance from,advice
mentored by,advice
conducted Biofair with,meetup
built system for,work
provided strains to,material transfer
exchanged resources with,material transfer
provided feedback to,advice
guided,advice
provided suggestions to,advice
tested parts with,work
combined,work
verified expression of,work
promoted project progress with help from,work
visited wiki of,other
participated in iGEM with,meetup
consulted,advice
exchanged parts with,material transfer
improved results with,work
verified function with,work
translated,material transfer
answered survey from,other
participated in discussion,meetup
discussed projects with,meetup
provided information to,material transfer
affiliated with,other
provided software,material transfer
shared experience with,meetup
discussed collaboration,work
provided tool,material transfer
collected responses,work
conducted survey,work
attended,meetup
received funding advice from,advice
received lecture from,advice
volunteered with,work
compared designs with,work
planning to apply patent with,other
received approval from,other
submitted data to,work
exchanged/imported/exported with,material transfer
received certificate from,other
assessed by,other
fulfilled requirements for,other
provided opinions and needs to,advice
helped with biological problems for,work
shared useful tricks and experience with,advice
helped with validation and characterization for,work
modeled and validated a metabolism pathway for,work
shared projects and ideas with,meetup
helped design,work
synthesized and tested,work
provided antibodies,material transfer
filled out survey,other
received training from,work
offered poster board space to,material transfer
guided by,advice
located at,other
sponsored by,other
contacted by,other
followed by,other
hosted education with,work
presented to,work
offered biobricks to,material transfer
provided tips to,advice
provided preview of model handbook to,other
helped with modeling,work
spread surveys for,other
organized skype call with,meetup
helped with interactive map for,work
provided information about synthetic biology to,advice
provided information about French regulation to,advice
helped with Human project for GMO regulation in Mexico for,work
provided information about climate disorder and winemakers to,advice
helped build part for,work
helped check,work
validated design with,work
collaborated,work
completed surveys for,other
collaborated with,work
worked with,work
helped another team,advice
improved function of,work
characterized,work
debugged,work
modeled or simulated,work
tested,work
provided feedback to,advice
built and tested,work
mentored,advice
participated in,meetup
sponsored by,other
student leader,work
wet lab leader,work
dry lab leader,work
human practices leader,work
contacted by,advice
exchanged ideas with,work
shared experience with,meetup
received help from,advice
instructed by,work
contributed knowledge to,work
tested devices for,work
cultivated cells in incubator used by,work
cooperated with,work
provided guidance and verification for,advice
performed statistical analysis on,work
helped design experiment,work
hosted,meetup
met up with,meetup
offered assistance to,advice
helped overhaul methods for,work
introduced,other
gave advice to,advice
Austin_UTexas and Texas Tech,other
provided feedback for,advice
expanded on,work
provided materials to,material transfer
conducted,work
created,work
compared data with,work
replaced,material transfer
asked,advice
wanted to hear about,meetup
interacted with,work
learned from,work
communicated with,work
advised,advice
provided feedback to,advice
participated in,meetup
formed close connection with,meetup
offered help and advice to,advice
learned novel ideas from,other
contributed to the improvement of,work
shared similar idea with,other
shared outcomes,work
received support from,advice
contacted,other
chose to work on,work
received education and technical support from,advice
visited and taught,meetup
supported,advice
helped organize,work
provided primers to test,material transfer
validated,work
substituted residues,work
visited,meetup
shared ideas with,work
received advice and motivation from,advice
appreciates,other
participated in iGEM for years,other
needed shuttle plasmid from,material transfer
gave suggestions to,advice
gave advice on modeling to,advice
participated in collaboration project with,work
collaboration project with,work
participated in Interlab study organized by,work
organized Interlab study for,work
participated in instagram challenge organized by,work
organized instagram challenge for,work
revamped,work
translated,material transfer
distributed,material transfer
mentoring cooperation,work
participated in German Meetup,meetup
participated in European Meetup,meetup
collaborated on InterLab Study,work
received support for track selection,advice
received support for sponsoring outreach,advice
received support for wiki design,advice
met,meetup
kept in touch with,other
delivered presentation at,work
exchanged ideas with,work
had fun at,other
received feedback from,advice
received ideas from,advice
located at,other
translated text for,material transfer
implanted Easter egg in video for,other
provided assistance to,advice
thanked,other
discussed,work
shared materials and equipment with,material transfer
helped with parts standardization for,work
attended,meetup
attended conference,meetup
reached out to,other
invited,other
published article on,other
attributed to,other
helped design,work
contributed to,work
produced,work
reminded,advice
suggested,advice
collaboration with,work
organized meetup,meetup
participated in meetup,meetup
presented project at meetup,meetup
attended lectures with,meetup
hosted meetup for,meetup
improved presentation with help from,advice
improved wiki with help from,advice
created parody video with,work
invited to participate in parody video by,advice
participated in parody video with,work
attended Wiki Workshop with,meetup
discussed with,work
borrowed lab from,material transfer
provided LB agars to,material transfer
provided competent cells to,material transfer
taught lab techniques to,work
discussed collaboration with,work
shared project ideas with,work
provided copper absorbing device to,material transfer
received project suggestions from,advice
cancelled modelling teaching with,other
organized mini Jamboree for,meetup
improved poster and presentation with help from,work
collaborated with other Dutch teams,work
worked on project with help from,advice
presented at,meetup
presented to,meetup
received suggestions from,advice
wishes to hold,other
shared interest,other
helped distribute,material transfer
created guide with,work
co-organized event,work
shared love for memes,other
met before Jamboree with,meetup
relaxed during competition with,other
participated in conference,other
received advice from,advice
won award at,other
benefited from lecture by,other
received advice on project from,advice
collaborated on project with,work
participated in safety poetry contest with,other
translated booklet for,material transfer
exchanged postcards with,meetup
shared information,material transfer
arranged Skype meeting,meetup
participated in beach cleanup,work
inspired by integrated practices,other
participated in surveys,work
provided knowledge to,advice
gifted,material transfer
provided advice to,advice
provided suggestions to,advice
lent equipment to,material transfer
gave suggestions on parts section to,advice
held lecture for,work
guided,work
instructed,work
gave suggestions on wiki text to,advice
provided substrates to,material transfer
assisted materials to,material transfer
exchanged data with,material transfer
presented with,work
judged by,other
had dinner with,meetup
went to bar with,meetup
provided strain,material transfer
requested interlab study,work
discussed research with,advice
debated with,other
held a debate with,other
provided venue for,other
engaged in a debate with,other
received comments from,advice
discussed environmental ethics with,other
shared research ideas with,work
participated in a scientific competition with,meetup
raised suggestions to,advice
debated on synthetic biology with,other
discussed environmental improvement with,other
discussed potential harm of synthetic biology with,other
discussed the use of synthetic biology in extreme climates with,other
discussed the potential misuse of synthetic biology with,other
won competition,other
skyped with,meetup
invited to subscribe to,other
translated for,other
exchanged knowledge with,work
attended panel discussion with,meetup
consulted with,advice
