context,category
assisted with materials,material transfer
exchanged data with,material transfer
located in the same building as,other
collaborated on project experiments with,work
co-organized HP activity with,work
provided support to,advice
participated in public engagement with,meetup
evaluated by,other
judged by,other
provided material support to,material transfer
collaboration attempt with,other
survey collaboration,work
requested interlab study by,material transfer
exchanged ideas,advice
held debate,meetup
shared tips and advices,advice
collaborated on public engagement,work
discussed challenges,advice
discussed strategies,advice
won grant from,other
received mentorship from,advice
exchanged knowledge with,advice
attended event organized by,meetup
consulted,advice
