text,year
"Matching: 
[[""provided materials to"", ""material transfer""], 
[""helped with project design for"", ""work""], 
[""provided information about iGEM to"", ""advice""], 
[""offered help to"", ""advice""], 
[""organized by"", ""other""], 
[""interviewed by"", ""other""], 
[""participated in survey by"", ""other""], 
[""visited"", ""other""], 
[""attended meetup with"", ""meetup""], 
[""attended conference with"", ""meetup""]]",2016
"Matching: [[""can work with"", ""work""], [""can help improve function of"", ""work""], [""can help characterize"", ""work""], [""can help debug"", ""work""], [""can help model or simulate"", ""work""], [""can help test"", ""work""], [""can help build and test"", ""work""], [""can mentor"", ""work""], [""teamed up with"", ""work""], [""collaborated on pest prediction web establishment"", ""work""]]",2016
"[[""helped registered iGEM team from high school"", ""work""], [""collaborated on social research"", ""work""], [""collaborated with registered iGEM team from high school"", ""work""], [""held interschool meetup"", ""meetup""], [""helped complete survey"", ""work""], [""participated in meetup"", ""meetup""], [""cooperated with"", ""work""], [""answered surveys for"", ""work""], [""exchanged ideas with"", ""work""], [""gave advice to"", ""advice""]]",2016
"[[""received advice from"", ""advice""], [""received target DNA from"", ""material transfer""], [""provided lab access to"", ""work""], [""did PCR amplification for"", ""work""], [""provided reagents to"", ""material transfer""], [""provided laboratory apparatus to"", ""material transfer""], [""guided"", ""advice""], [""sent pBS1c3 parts and pGEX-KG expression vectors to"", ""material transfer""], [""shared findings with"", ""work""], [""joined campaign with"", ""work""]]",2016
"Matching: 
[[""received analysis and suggestions from"", ""advice""],
[""discussed mutated DNA detection"", ""work""],
[""asked for help from"", ""advice""],
[""contributed theoretical modeling"", ""work""],
[""worked on experiment design"", ""work""],
[""synthesized and shipped genes"", ""material transfer""],
[""contributed"", ""work""],
[""approved"", ""work""],
[""provided equipment to"", ""material transfer""],
[""performed PCR amplification for"", ""work""]]",2016
"Matching: [[""can help improve"", ""advice""], [""supplied"", ""material transfer""], [""filled out surveys for"", ""work""], [""exchanged work with"", ""work""], [""provided experimental help to"", ""work""]]",2016
"Matching: 
- [[""advised"", ""advice""]]
- [[""used"", ""material transfer""]]
- [[""participated in"", ""meetup""]]
- [[""held exhibition booth with"", ""work""]]
- [[""collaborated with"", ""work""]]
- [[""collaborated"", ""work""]]
- [[""received support from"", ""advice""]]
- [[""contacted"", ""other""]]
- [[""communicated with"", ""other""]]
- [[""needed council from"", ""advice""]]",2017
"[[""troubleshooted with"", ""work""], [""exchanged ideas with"", ""work""], [""planned cooperation with"", ""work""], [""participated in postal card exchange"", ""other""], [""supervisor of"", ""work""], [""organized"", ""work""], [""conducted experiments with"", ""work""], [""adopted advice from"", ""advice""], [""raising help and advice"", ""advice""], [""lab support"", ""work""]]",2017
"[[""difficult technique support"", ""work""], [""hardware support"", ""work""], [""wiki support"", ""work""], [""presentation coaching"", ""advice""], [""human practice support"", ""advice""], [""other support"", ""other""], [""cooperation with"", ""work""], [""contacted by"", ""other""], [""discussed with"", ""work""], [""improved algorithm with"", ""work""]]",2017
"Matching: 
- ""received help from"": [[""received help from"", ""advice""]]
- ""gifted"": [[""gifted"", ""material transfer""]]
- ""attended conference with"": [[""attended conference with"", ""meetup""]]
- ""attended ACMA held by"": [[""attended ACMA held by"", ""meetup""]]
- ""assisted"": [[""assisted"", ""work""]]
- ""presented projects from"": [[""presented projects from"", ""work""]]
- ""judged"": [[""judged"", ""work""]]
- ""shared knockout strain with"": [[""shared knockout strain with"", ""material transfer""]]
- ""discussed usage and verification with"": [[""discussed usage and verification with"", ""work""]]
- ""transformed"": [[""transformed"", ""work""]]",2017
"checked by colony PCR: [[""checked by colony PCR"",""work""]]
checked with restriction enzymes: [[""checked with restriction enzymes"",""work""]]
confirmed by DNA sequencing: [[""confirmed by DNA sequencing"",""work""]]
drew plasmid map: [[""drew plasmid map"",""work""]]
amplified glucose transporter genes from: [[""amplified glucose transporter genes from"",""work""]]
performed PCR for: [[""performed PCR for"",""work""]]
did a positive control to check: [[""did a positive control to check"",""work""]]
visited: [[""visited"",""meetup""]]
collected water samples: [[""collected water samples"",""material transfer""]]
designed and tested: [[""designed and tested"",""work""]]",2017
"Matching: 
[[""designed"", ""work""], [""fixed equipment on"", ""work""], [""cooperated with"", ""work""], [""helped"", ""advice""], [""shared project with"", ""material transfer""], [""translated"", ""other""], [""attended"", ""meetup""], [""established partnership with"", ""other""], [""participated in iGEM competition"", ""other""], [""collaborated with other iGEM teams"", ""work""]]",2017
"Matching: [[""tested and selected NtrC-regulated promoter glnAp2"", ""work""], [""compared and selected SsrA-like tag DAS"", ""work""], [""used sfGFP as reporter"", ""work""], [""used M9 medium for bacteria culture"", ""material transfer""], [""can work with"", ""work""], [""can help improve"", ""advice""], [""can help characterize"", ""advice""], [""can help debug"", ""advice""], [""can help model or simulate"", ""advice""], [""can help test"", ""advice""]]",2017
"Matching: 
- ""can help build and test"": [[""can help build and test"", ""work""]]
- ""can mentor"": [[""can mentor"", ""advice""]]
- ""enlightened by"": [[""enlightened by"", ""advice""]]
- ""thanked"": [[""thanked"", ""other""]]
- ""collaboration with"": [[""collaboration with"", ""work""]]
- ""tested DNAzyme synthesized by"": [[""tested DNAzyme synthesized by"", ""material transfer""]]
- ""worked with"": [[""worked with"", ""work""]]
- ""asked for help"": [[""asked for help"", ""advice""]]
- ""answered questionnaire from"": [[""answered questionnaire from"", ""other""]]
- ""affiliated with"": [[""affiliated with"", ""other""]]",2017
"Matching: 
- [[""hosted webinars with"", ""work""]]
- [[""mentored by"", ""advice""]]
- [[""mentored"", ""advice""]]
- [[""conducted Biofair with"", ""work""]]
- [[""built system for controlled release for"", ""work""]]
- [[""provided strains to"", ""material transfer""]]
- [[""exchanged resources with"", ""material transfer""]]
- [[""received guidance from"", ""advice""]]
- [[""received suggestions from"", ""advice""]]
- [[""helped with precipitation issues of"", ""work""]]",2017
"pH parts with: [[""tested pH parts with"", ""work""]]
translated game: [[""translated game"", ""other""]]
answered survey: [[""answered survey"", ""other""]]
participated in discussion on: [[""participated in discussion on"", ""work""]]
gathered data about: [[""gathered data about"", ""work""]]
conducted Skype session with: [[""conducted Skype session with"", ""work""]]
provided information to: [[""provided information to"", ""advice""]]
met: [[""met"", ""meetup""]]
exchanged experiences with: [[""exchanged experiences with"", ""work""]]
tested: [[""tested"", ""work""]]",2017
"[[""focused on"", ""work""], [""transferred"", ""material transfer""], [""sequenced"", ""work""], [""established collaboration with"", ""work""], [""gathered responses"", ""work""], [""collected responses"", ""work""], [""conducted survey"", ""work""], [""know what synthetic biology is more than"", ""advice""], [""received research insight from"", ""advice""], [""attended event organized by"", ""meetup""]]",2017
"Matching: 
- ""organized event attended by"": [[""organized event attended by"", ""meetup""]]
- ""received funding advice from"": [[""received funding advice from"", ""advice""]]
- ""received lecture from"": [[""received lecture from"", ""work""]]
- ""volunteered at"": [[""volunteered at"", ""work""]]
- ""received advice from"": [[""received advice from"", ""advice""]]
- ""compared designs with"": [[""compared designs with"", ""work""]]
- ""shared opinions and needs with"": [[""shared opinions and needs with"", ""work""]]
- ""hosted"": [[""hosted"", ""work""]]
- ""produces immobilized bacteria"": [[""produces immobilized bacteria"", ""work""]]
- ""changed plan"": [[""changed plan"", ""other""]]",2017
"Matching: 

1. ""employed peristaltic pump"": [[""employed peristaltic pump"", ""work""]]
2. ""employed microporous filter"": [[""employed microporous filter"", ""work""]]
3. ""applied bacterial immobilizing technique"": [[""applied bacterial immobilizing technique"", ""work""]]
4. ""used LED and photoresistor"": [[""used LED and photoresistor"", ""work""]]
5. ""designed control system"": [[""designed control system"", ""work""]]
6. ""provided cloning expertise to"": [[""provided cloning expertise to"", ""advice""]]
7. ""filled out survey for"": [[""filled out survey for"", ""other""]]
8. ""answered questions for"": [[""answered questions for"", ""advice""]]
9. ""provided summary for"": [[""provided summary for"", ""other""]]
10. ""offered poster board space to"": [[""offered poster board space to"", ""other""]]",2017
"Matching: 
- ""guided by"": [[""guided by"", ""advice""]]
- ""sponsored by"": [[""sponsored by"", ""other""]]
- ""located at"": [[""located at"", ""other""]]
- ""encountered"": [[""encountered"", ""other""]]
- ""reexamined objectives with"": [[""reexamined objectives with"", ""work""]]
- ""is on"": [[""is on"", ""other""]]
- ""participated in iGEM competition as"": [[""participated in iGEM competition as"", ""other""]]
- ""hosted education with"": [[""hosted education with"", ""work""]]
- ""characterized"": [[""characterized"", ""work""]]
- ""measured growth curve of"": [[""measured growth curve of"", ""work""]]",2017
"Matching: 
- ""tested function of"": [[""tested function of"", ""work""]]
- ""presented to"": [[""presented to"", ""work""]]
- ""provided biobricks to"": [[""provided biobricks to"", ""material transfer""]]
- ""offered biobricks to"": [[""offered biobricks to"", ""material transfer""]]
- ""establishment of program"": [[""establishment of program"", ""other""]]
- ""gave tips to use"": [[""gave tips to use"", ""advice""]]
- ""provided preview of model handbook"": [[""provided preview of model handbook"", ""material transfer""]]
- ""helped with modeling"": [[""helped with modeling"", ""work""]]
- ""provided document about French regulation"": [[""provided document about French regulation"", ""material transfer""]]
- ""helped build interactive map"": [[""helped build interactive map"", ""work""]]",2017
"[[""spread surveys for"", ""work""], [""organized skype with winemaker"", ""meetup""]]",2017
"[[""met"", ""meetup""], [""completed survey for"", ""other""], [""collaborated with"", ""work""], [""mentored"", ""advice""], [""collaborated"", ""work""], [""exchanged ideas with"", ""work""], [""cooperated with"", ""work""], [""communicated with"", ""work""], [""collaborated on manifesto with"", ""work""], [""collaborated on project with"", ""work""]]",2018
"Matching: 
- [[""contributed knowledge to"", ""work""]]
- [[""participated in"", ""work""]]
- [[""cooperated on experiment"", ""work""]]
- [[""cooperated on improve"", ""work""]]
- [[""cooperated on handbook"", ""work""]]
- [[""cooperated on measure experiment"", ""work""]]
- [[""cooperated on determine experiment"", ""work""]]
- [[""cooperated on demonstrate"", ""work""]]
- [[""met up with"", ""meetup""]]
- [[""assisted"", ""advice""]]",2018
"Matching: 
[[""helped"", ""work""], [""introduced"", ""meetup""], [""worked with"", ""work""], [""hosted meetup with"", ""meetup""], [""interacted with"", ""other""], [""advised"", ""advice""], [""chatted with"", ""other""], [""connected with"", ""other""], [""offered help and advice to"", ""advice""], [""translated videos for"", ""other""]]",2018
"[[""project displayed by"", ""meetup""], [""shared outcomes"", ""work""], [""integrate bacteria from"", ""material transfer""], [""contacted"", ""other""], [""visited"", ""meetup""], [""shared ideas"", ""work""], [""appreciate advice from"", ""advice""], [""gave suggestions to"", ""advice""], [""received advice from"", ""advice""], [""collaboration with"", ""work""]]",2018
"Matching: [[""mentoring cooperation with"", ""work""], [""mentored by"", ""work""], [""participated in iGEM Day organized by"", ""meetup""], [""kept in touch with"", ""other""], [""hosted"", ""other""], [""had fun in"", ""other""], [""received assistance from"", ""advice""], [""thanked"", ""other""], [""discussed with"", ""work""], [""analyzed data with"", ""work""]]",2018
"[[""had skype calls with"", ""work""], [""worked alongside"", ""work""], [""wished success to"", ""advice""], [""shared protocols and tips with"", ""work""], [""exchanged knowledge with"", ""work""], [""validated ElectroPen with"", ""work""], [""attended"", ""meetup""], [""received feedback from"", ""advice""], [""contacted by"", ""other""], [""shared SEM imaging protocol with"", ""material transfer""]]",2018
"visited by: [[""visited by"",""meetup""]]
participated in postcard swap with: [[""participated in postcard swap with"",""other""]]
attended conference with: [[""attended conference with"",""meetup""]]
reached out to: [[""reached out to"",""advice""]]
invited: [[""invited"",""meetup""]]
provided valuable way to: [[""provided valuable way to"",""other""]]
helped design draft of device for: [[""helped design draft of device for"",""work""]]
contributed to: [[""contributed to"",""work""]]
presented projects to: [[""presented projects to"",""work""]]
introduced iGEM to: [[""introduced iGEM to"",""advice""]]",2018
"Matching: [[""organized"", ""work""], [""presented at"", ""work""], [""saw projects from"", ""work""], [""had lectures with"", ""work""], [""created WhatsApp group with"", ""work""], [""participated in parody video with"", ""work""], [""attended workshop with"", ""work""], [""participated in meetup"", ""meetup""], [""borrowed lab from"", ""material transfer""], [""provided apparatus to"", ""material transfer""]]",2018
"Matching: 
1. [[""provided LB agars to"", ""material transfer""]]
2. [[""provided competent cells to"", ""material transfer""]]
3. [[""taught lab techniques to"", ""work""]]
4. [[""met with"", ""meetup""]]
5. [[""wants to collaborate with"", ""work""]]
6. [[""suggested teaching modeling to"", ""advice""]]
7. [[""organized mini Jamboree"", ""other""]]
8. [[""presented to"", ""work""]]
9. [[""got inspirations from"", ""other""]]
10. [[""had a conversation with"", ""other""]]",2018
"Matching: [[""co-hosted event with"", ""meetup""], [""distributed book with"", ""material transfer""], [""created guide with"", ""work""], [""collaborated on memes with"", ""work""], [""created Facebook group with"", ""work""], [""participated in conference"", ""work""], [""won award from"", ""other""], [""benefited from lecture by"", ""other""], [""participated in safety poetry contest"", ""other""], [""translated booklet for"", ""material transfer""]]",2018
"Matching: 
[[""exchanged postcards with"", ""other""], 
[""organized meetup"", ""meetup""], 
[""participated in survey"", ""other""], 
[""received gift from"", ""other""], 
[""guided by"", ""advice""], 
[""instructors"", ""work""], 
[""thankful for"", ""other""], 
[""assisted materials to"", ""material transfer""], 
[""exchanged data with"", ""material transfer""], 
[""presented project with"", ""work""]]",2018
"Matching: [[""can work with"", ""work""], [""can help improve function of"", ""advice""], [""can help characterize"", ""work""], [""can help debug"", ""work""], [""can help model or simulate"", ""work""], [""can help test"", ""work""], [""can help build and test"", ""work""], [""can mentor"", ""advice""], [""provided strain to"", ""material transfer""], [""conducted survey with"", ""work""]]",2018
"Matching: 
[[""requested interlab study with"", ""work""], 
[""debated with"", ""work""], 
[""provided venue for debate"", ""work""], 
[""won robot from"", ""material transfer""], 
[""skyped with"", ""work""], 
[""translated for"", ""work""], 
[""attended panel discussion organized by"", ""meetup""], 
[""consulted"", ""advice""]]",2018
