context,category
attended event organized by,meetup
organized event attended by,meetup
received funding advice from,advice
received lecture from,work
volunteered at,work
received advice from,advice
compared designs with,work
shared experience with,meetup
helped validate,work
modeled pathway for,work
hosted,work
produces immobilized bacteria,work
changed plan,work
seeking for a better solution,other
employed peristaltic pump,work
employed microporous filter,work
applied bacterial immobilizing technique,work
used polyvinyl alcohol/sodium alginate beads,material transfer
used LED and photoresistor,work
designed control system,work
used Bluetooth module,work
provided cloning expertise to,advice
filled out survey for,other
answered questions for,advice
provided summary for,work
offered poster board space to,material transfer
guided by,advice
sponsored by,other
located at,other
encountered,other
reexamined objectives with,work
is on,other
met,meetup
participated in iGEM competition as,work
hosted education with,work
characterized,work
measured growth curve of,work
tested function of,work
presented to,work
provided biobricks to,material transfer
offered biobricks to,material transfer
establishment of program,other
gave tips to use,advice
provided preview of model handbook,work
helped with modeling,work
provided document about French regulation,material transfer
helped build interactive map,work
spread surveys,work
organized skype with winemaker,meetup
met,meetup
completed survey for,other
collaborated with,work
mentored,advice
collaborated,work
exchanged ideas with,work
cooperated with,work
communicated with,work
collaborated on manifesto with,work
collaborated on plasmid with,work
contributed knowledge to,work
participated in,work
cooperated on experiment,work
cooperated on improve,work
cooperated on handbook,work
cooperated on measure experiment,work
cooperated on determine experiment,work
cooperated on demonstrate,work
met up with,meetup
assisted,advice
helped,work
introduced,meetup
worked with,work
hosted meetup with,meetup
interacted with,work
advised,advice
chatted with,meetup
connected with,meetup
offered help and advice to,advice
translated videos for,other
project displayed by,work
shared outcomes,material transfer
integrate bacteria from,work
contacted,work
visited,meetup
shared ideas,work
appreciate advice from,advice
wishes best to,other
gave suggestions to,advice
received advice from,advice
helped with modeling,work
collaboration with,work
mentoring cooperation with,work
mentored by,advice
participated in iGEM Day organized by,meetup
kept in touch with,other
hosted,other
presented at,other
helped other teams at,work
received assistance from,advice
thanked,other
discussed with,work
analyzed data with,work
had skype calls with,work
worked alongside,work
wished success to,other
shared protocols and tips with,material transfer
exchanged knowledge with,material transfer
validated,work
transformed,work
attended,meetup
attended,work
attended,other
received feedback from,advice
contacted by,other
shared SEM imaging protocol with,material transfer
visited by,other
participated in postcard swap with,other
attended conference with,meetup
attended conference with,work
reached out to,other
invited,other
provided valuable way to,other
helped design draft of device for,work
contributed to,work
presented projects to,work
introduced iGEM to,other
organized,other
saw projects from,other
had lectures with,work
created WhatsApp group with,other
participated in parody video with,other
attended workshop with,other
participated in meetup,meetup
borrowed lab from,work
provided apparatus to,material transfer
provided LB agars to,material transfer
provided competent cells to,material transfer
taught lab techniques to,work
met with,meetup
wants to collaborate with,work
suggested teaching modeling to,advice
organized mini Jamboree,other
presented to,work
got inspirations from,advice
had a conversation with,meetup
co-hosted event with,work
distributed book with,material transfer
created guide with,work
collaborated on memes with,work
created Facebook group with,work
participated in iGEM competition,work
participated in conference,work
won award from,other
benefited from lecture by,work
participated in safety poetry contest,other
translated booklet for,work
exchanged postcards with,other
organized meetup,meetup
participated in survey,other
received gift from,other
shared experiences with,other
offered suggestions to,advice
guided by,advice
received suggestions from,advice
assisted materials to,material transfer
exchanged data with,material transfer
presented project with,meetup
can work with,work
can help improve function of,work
can help characterize,work
can help debug,work
can help model or simulate,work
can help test,work
can help build and test,work
can mentor,advice
provided strain to,material transfer
conducted survey with,work
requested interlab study with,work
debated with,other
provided venue for debate,other
won robot from,other
skyped with,meetup
translated for,other
attended panel discussion organized by,meetup
hosted meetup,meetup
consulted,advice
